"","comId","average_yield"
"1","1001",383.770588235294
"2","1002",387.970588235294
"3","1003",384.647058823529
"4","1004",412.635294117647
"5","1051",372.811764705882
"6","1053",383.176470588235
"7","1054",383.294117647059
"8","1055",379.617647058824
"9","1056",364.411764705882
"10","1057",367.558823529412
"11","1058",378.341176470588
"12","1059",370.288235294118
"13","1060",383.411764705882
"14","1061",379.411764705882
"15","1062",382.888235294118
"16","3103",456.546153846154
"17","3151",478.447058823529
"18","3152",502.070588235294
"19","3153",515.4625
"20","3154",480.84375
"21","3155",504.464705882353
"22","3156",487.482352941176
"23","3157",495.8875
"24","3158",530.88
"25","3241",474.647058823529
"26","3251",462.364705882353
"27","3252",494.052941176471
"28","3254",488.129411764706
"29","3255",486.811764705882
"30","3256",459.711764705882
"31","3257",481.9
"32","3351",469.752941176471
"33","3352",464.123529411765
"34","3353",447.741176470588
"35","3354",453.776470588235
"36","3355",428.164705882353
"37","3356",454.147058823529
"38","3357",448.488235294118
"39","3358",442.3
"40","3359",464.811764705882
"41","3360",467.511764705882
"42","3361",457.335294117647
"43","3404",448.25
"44","3451",452.117647058824
"45","3452",458.123529411765
"46","3453",453.458823529412
"47","3454",443.194117647059
"48","3455",442.358823529412
"49","3456",462.635294117647
"50","3457",452.823529411765
"51","3458",444.3
"52","3459",454.458823529412
"53","3460",450.805882352941
"54","3461",437.970588235294
"55","3462",450.447058823529
"56","5116",552.182352941176
"57","5119",540.769230769231
"58","5154",501.8
"59","5158",495.376470588235
"60","5162",452.911764705882
"61","5166",440.405882352941
"62","5170",520.094117647059
"63","5316",320.4375
"64","5358",488.594117647059
"65","5362",510.635294117647
"66","5366",449.582352941176
"67","5370",531.588235294118
"68","5374",435.382352941176
"69","5382",484.517647058824
"70","5515",433.6375
"71","5554",491.358823529412
"72","5558",489.694117647059
"73","5562",457.617647058824
"74","5566",446.652941176471
"75","5570",443.952941176471
"76","5711",480.73125
"77","5754",421.541176470588
"78","5758",502.741176470588
"79","5762",498.994117647059
"80","5766",467.164705882353
"81","5770",472.958823529412
"82","5774",466.270588235294
"83","5913",539.166666666667
"84","5914",581.51
"85","5915",517.647058823529
"86","5954",444.45625
"87","5958",406.947058823529
"88","5962",435.041176470588
"89","5966",366.811764705882
"90","5970",463.605882352941
"91","5974",480.870588235294
"92","5978",494.929411764706
"93","6411",483.13125
"94","6412",494.19375
"95","6413",487.65
"96","6414",503.741176470588
"97","6431",485.376470588235
"98","6432",545.135294117647
"99","6433",498.752941176471
"100","6434",468.847058823529
"101","6435",466.705882352941
"102","6436",496.541176470588
"103","6437",427.223529411765
"104","6438",493.75625
"105","6439",475.111764705882
"106","6440",515.835294117647
"107","6531",508.752941176471
"108","6532",494.688235294118
"109","6533",469.3
"110","6534",513.617647058824
"111","6535",503.3
"112","6611",503.369230769231
"113","6631",479.517647058824
"114","6632",477.735294117647
"115","6633",510.805882352941
"116","6634",523.929411764706
"117","6635",506.635294117647
"118","6636",506.3
"119","7132",456.741666666667
"120","7134",423.94
"121","7137",467.157142857143
"122","7138",484.023076923077
"123","7140",465.572727272727
"124","7141",467.86875
"125","7143",482.666666666667
"126","7231",454.570588235294
"127","7232",451.782352941176
"128","7235",454.823529411765
"129","7333",447.028571428571
"130","7336",423.282352941176
"131","7340",451.46
"132","8115",467.784615384615
"133","8116",461.747058823529
"134","8117",483.66875
"135","8118",489.517647058824
"136","8119",449.435294117647
"137","8125",459.205882352941
"138","8126",465.694117647059
"139","8127",443.105882352941
"140","8128",451.488235294118
"141","8135",453.058333333333
"142","8136",451.705882352941
"143","8215",444.108333333333
"144","8216",441.55
"145","8225",430.094117647059
"146","8226",439.217647058824
"147","8235",432.725
"148","8236",484.970588235294
"149","8237",460.894117647059
"150","8315",441.733333333333
"151","8316",457.62
"152","8317",443.164285714286
"153","8325",433.123529411765
"154","8326",471.816666666667
"155","8327",459.96875
"156","8335",451.470588235294
"157","8336",475.216666666667
"158","8337",447.782352941176
"159","8415",405.56875
"160","8416",451.616666666667
"161","8417",430.911764705882
"162","8425",462.405882352941
"163","8426",471.305882352941
"164","8435",486.658333333333
"165","8436",441.494117647059
"166","8437",453.558823529412
"167","9161",476.4
"168","9162",485.782352941176
"169","9163",482.570588235294
"170","9171",495.670588235294
"171","9172",506.594117647059
"172","9173",414.717647058824
"173","9174",463.135294117647
"174","9175",494.588235294118
"175","9176",502.529411764706
"176","9177",513.947058823529
"177","9178",463.147058823529
"178","9179",494.441176470588
"179","9181",479.647058823529
"180","9182",475.952941176471
"181","9183",514.041176470588
"182","9184",461.429411764706
"183","9185",498
"184","9186",491.535294117647
"185","9187",514.494117647059
"186","9188",462.064705882353
"187","9189",483.564705882353
"188","9190",512.576470588235
"189","9261",510.005882352941
"190","9262",495.011764705882
"191","9263",518.664705882353
"192","9271",506.629411764706
"193","9272",459.929411764706
"194","9273",496.617647058824
"195","9274",513.329411764706
"196","9275",491.235294117647
"197","9276",450.352941176471
"198","9277",514.111764705882
"199","9278",488.911764705882
"200","9279",504.7
"201","9361",482.347058823529
"202","9362",493.694117647059
"203","9363",480.017647058824
"204","9371",487.711764705882
"205","9372",492.870588235294
"206","9373",472.970588235294
"207","9374",463.147058823529
"208","9375",478.517647058824
"209","9376",470.305882352941
"210","9377",487.376470588235
"211","9461",459.757142857143
"212","9462",474.476470588235
"213","9463",477.711764705882
"214","9464",455.635294117647
"215","9471",458.505882352941
"216","9472",465.358823529412
"217","9473",463.152941176471
"218","9474",475.723529411765
"219","9475",454.488235294118
"220","9476",426.747058823529
"221","9477",508.652941176471
"222","9478",471.723529411765
"223","9479",448.729411764706
"224","9561",496.629411764706
"225","9562",448.382352941176
"226","9563",450.988235294118
"227","9564",464.064705882353
"228","9565",473.194117647059
"229","9571",478.376470588235
"230","9572",444.858823529412
"231","9573",447.564705882353
"232","9574",464.411764705882
"233","9575",470.241176470588
"234","9576",472.911764705882
"235","9577",495.770588235294
"236","9661",479.847058823529
"237","9662",454.347058823529
"238","9663",518.770588235294
"239","9671",480.482352941176
"240","9672",444.623529411765
"241","9673",462.123529411765
"242","9674",461.452941176471
"243","9675",460.747058823529
"244","9676",469.094117647059
"245","9677",477.782352941176
"246","9678",473.647058823529
"247","9679",523.176470588235
"248","9761",521.711764705882
"249","9762",509.364705882353
"250","9764",505.347058823529
"251","9771",502.047058823529
"252","9772",513.576470588235
"253","9773",507.929411764706
"254","9774",524.088235294118
"255","9775",513.7
"256","9777",507.1
"257","9778",506.241176470588
"258","9779",495.217647058824
"259","10041",438.682352941176
"260","10042",449.847058823529
"261","10043",432.841176470588
"262","10044",441.923529411765
"263","10045",419.576470588235
"264","10046",425.588235294118
"265","12053",370.56875
"266","12060",302.770588235294
"267","12061",302.041176470588
"268","12062",316.988235294118
"269","12063",331.841176470588
"270","12064",339.305882352941
"271","12065",322.194117647059
"272","12066",330.994117647059
"273","12067",299.1
"274","12068",339.982352941176
"275","12069",321.341176470588
"276","12070",339.464705882353
"277","12071",301.394117647059
"278","12072",311.052941176471
"279","12073",344.382352941176
"280","13051",366.325
"281","13052",398.658333333333
"282","13053",350.025
"283","13054",337.716666666667
"284","13055",344.216666666667
"285","13056",328.2
"286","13057",374.366666666667
"287","13058",388.2
"288","13059",364.783333333333
"289","13060",341.05
"290","13061",377.741666666667
"291","13062",370.466666666667
"292","14511",418.25
"293","14521",380.105882352941
"294","14522",434.188235294118
"295","14523",383.464705882353
"296","14524",422.923529411765
"297","14625",396.3
"298","14626",414.123529411765
"299","14627",388.270588235294
"300","14628",382.907142857143
"301","14713",433.3375
"302","14729",412.317647058824
"303","14730",384.370588235294
"304","15001",386.488888888889
"305","15081",342.982352941176
"306","15082",389.98
"307","15083",446.09
"308","15084",449.68
"309","15085",446.97
"310","15086",334.72
"311","15087",466.21
"312","15088",416.87
"313","15089",420.59
"314","15090",348.241176470588
"315","15091",332.13
"316","16051",397.155555555556
"317","16056",430.466666666667
"318","16061",437.8
"319","16062",450.447058823529
"320","16063",439.417647058824
"321","16064",438.417647058824
"322","16065",407.364705882353
"323","16066",361.823529411765
"324","16067",437.494117647059
"325","16068",443.135294117647
"326","16069",366.523529411765
"327","16070",366.229411764706
"328","16071",457.494117647059
"329","16072",431.475
"330","16073",377.094117647059
"331","16074",436.652941176471
"332","16075",395.523529411765
"333","16076",428.417647058824
"334","16077",474.405882352941
